Title,Author,Category,Sub Category
How to Change Your Mind,Michael Pollan,Science,Chemistry
How To Stop Worrying and Start Living,Dale Carnegie,Personal Exploration & Skills,
"If Anyone Builds It, Everyone Dies: Why Superhuman AI Would Kill Us All","Eliezer Yudkowsky, Nate Soares",Science,
Immoderate Greatness: Why Civilizations Fail,William Ophuls,History & Politics,
Inbound Marketing,"Brian Halligan, Dharmesh Shah",Personal Exploration & Skills,
Industrial Society and Its Future,Theodore Kaczynski,Memoir,
Infinite Jest,David Foster Wallace,Fiction,
Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,Business,Profile
It's Better To Be Feared: The New England Patriots Dynasty and the Pursuit of Greatness,Seth Wickersham,Sports,Profile
Jesse Livermore - Boy Plunger,Tom Rubython,Personal Finance & Investing,Profile
John Stuart Mill Autobiography,John Stuart Mill,Business,Economics
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,Business,Profile
Kicking the Hornets Nest,Satoshi Nakamoto,Business,Economics
Learn Agile,"Andrew Stellman, Jennifer Greene",Personal Exploration & Skills,
"Lee Kuan Yew: The Grand Master's Insights on China, the United States, and the World",Graham Allison,History & Politics,
Leonardo Da Vinci,Walter Isaacson,History & Politics,Profile
Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,Business,Memoir
Letters from a Stoic,Lucius Annaeus Seneca,Personal Exploration & Skills,Philosophy
Liftoff: Elon Musk and the Desperate Early Days That Launched SpaceX,Eric Berger,Business,Profile
"Listen, Liberal or What Ever Happened to the Party of The People?",Thomas Frank,History & Politics,Memoir
"Living On The Black: Two Pitchers, Two Teams, One Season To Remember",John Feinstein,Sports,
Lost City of the Monkey God,Douglas Preston,Entertainment,
Make Something Wonderful,Steve Jobs,Business,Memoir
Man Without a Country,Kurt Vonnegut,Misc. Non-fiction,
Man's Search for Meaning,Viktor E. Frankl,Personal Exploration & Skills,Memoir
Margin of Safety,Seth Klarman,Personal Finance & Investing,
May The Best Team Win: Baseball Economics and Public Policy,Andrew Zimbalist,Sports,
Mayor for A New America,Thomas Menino,History & Politics,Politics
Meditations,Marcus Aurelius,Personal Exploration & Skills,Philosophy
